"sum","season","state_id","election_id","candidate_name"
"655","Summer     ","Kerala",3109,"SHAFI PARAMBIL"
"919","Autumn     ","Kerala",2951,"T S CHANDRAN"
"729","Whole Year ","Goa",1480,"DR SWETA GAONKAR"
"655","Summer     ","Kerala",3031,"N. RAGHAVAN S/O DAMU"
"656","Winter     ","Kerala",3088,"PANNIAN RAVINDRAN"
"920","Summer     ","Kerala",3027,"ARAMUKHAN"
"921","Winter     ","Kerala",2997,"M MUKESH"
"921","Winter     ","Kerala",3110,"K K SHAILAJA TEACHER"
"920","Summer     ","Kerala",3020,"SANTHOSH PULICKAL"
"655","Summer     ","Kerala",3052,"SURESH NOORANAD"
"920","Summer     ","Kerala",3108,"NOTA"
"655","Summer     ","Kerala",3079,"ADV. NIVEDIDA"
"654","Autumn     ","Kerala",3004,"JOSE SARANATH"
"920","Summer     ","Kerala",2965,"ADV. DEAN KURIAKOSE"
"919","Autumn     ","Kerala",2928,"K.RADHAKRISHNAN"
"919","Autumn     ","Kerala",2968,"ADV. RUSSEL JOY"
"656","Winter     ","Kerala",3057,"V K SREEKANDAN"
"656","Winter     ","Kerala",3107,"JOSHI VILLADOM"
"921","Winter     ","Kerala",3017,"M M SCARIA"
"919","Autumn     ","Kerala",3096,"SHAJU PALIYODU"
"655","Summer     ","Kerala",2922,"ADV.K.M SHAJAHAN"
"919","Autumn     ","Kerala",2970,"SAJI @ SHAJI"
"656","Winter     ","Kerala",2957,"ADV. ANTONY JUDY"
"920","Summer     ","Kerala",3120,"RAHUL GANDHI"
"921","Winter     ","Kerala",3059,"C KRISHNAKUMAR"
"920","Summer     ","Kerala",3074,"ADV.HARIKUMAR M.K."
"655","Summer     ","Kerala",2916,"K. C VENUGOPAL"
"852","Kharif     ","Goa",1481,"DEEPKUMAR D MAPARI"
"920","Summer     ","Kerala",3015,"JOSSIN K JOSEPH"
"919","Autumn     ","Kerala",3058,"A VIJAYARAGHAVAN"
"656","Winter     ","Kerala",3099,"SURESH GOPI"
"740","Rabi       ","Goa",1484,"HARISHCHANDRA SUDHAKAR NAIK"
"919","Autumn     ","Kerala",3035,"ABDUL KAREEM S/O AYAMMATH KUTTY"
"654","Autumn     ","Kerala",3124,"SATHYAN K.P"
"654","Autumn     ","Kerala",3002,"PRADEEP KOTTARAKKARA"
"656","Winter     ","Kerala",3102,"ADV P K NARAYANAN"
"921","Winter     ","Kerala",3076,"NOTA"
"921","Winter     ","Kerala",2959,"SANDEEP RAJENDRAPRASAD"
"655","Summer     ","Kerala",3114,"KUNHIKANNAN PAYYOLI"
"921","Winter     ","Kerala",2985,"NOTA"
"920","Summer     ","Kerala",2977,"K. SUDHAKARAN S/O. KRISHNAN"
"921","Winter     ","Kerala",2929,"RAMYA HARIDAS"
"656","Winter     ","Kerala",3076,"NOTA"
"921","Winter     ","Kerala",2934,"ADV ADOOR PRAKASH"
"920","Summer     ","Kerala",2944,"K A UNNIKRISHNAN"
"677","Rabi       ","Meghalaya",4720,"DR. MAZEL AMPAREEN LYNGDOH"
"656","Winter     ","Kerala",2956,"DR. K. S. RADHAKRISHNAN"
"921","Winter     ","Kerala",3036,"ABDUL KAREEM K. S/O ASSAIN"
"920","Summer     ","Kerala",3009,"ADV K FRANCIS GEORGE"
"729","Whole Year ","Goa",1484,"HARISHCHANDRA SUDHAKAR NAIK"
"921","Winter     ","Kerala",2989,"SUKUMARI M"
"919","Autumn     ","Kerala",3093,"M S SUBI"
"654","Autumn     ","Kerala",3117,"SYLAJA P"
"656","Winter     ","Kerala",3002,"PRADEEP KOTTARAKKARA"
"939","Rabi       ","Meghalaya",4728,"LABENN CH MARAK"
"654","Autumn     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"655","Summer     ","Kerala",3014,"V P KOCHUMON"
"656","Winter     ","Kerala",3019,"ROBY MATTAPPALLY"
"656","Winter     ","Kerala",2962,"BRAHMAKUMAR"
"852","Kharif     ","Goa",1479,"RUBERT PEREIRA"
"920","Summer     ","Kerala",3101,"K MURALEEDHARAN"
"920","Summer     ","Kerala",3087,"RAJEEV CHANDRASEKHAR"
"919","Autumn     ","Kerala",3060,"K T PADMINI"
"919","Autumn     ","Kerala",3003,"TWINKLE PRABHAKARAN"
"921","Winter     ","Kerala",3116,"SHAFI"
"921","Winter     ","Kerala",3090,"ADV SHINE LAL M P"
"655","Summer     ","Kerala",2987,"M.V BALAKRISHNAN MASTER"
"654","Autumn     ","Kerala",3122,"K SURENDRAN"
"655","Summer     ","Kerala",3038,"E.T.  MOHAMMED BASHEER"
"920","Summer     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"656","Winter     ","Kerala",3021,"SUNIL ALANCHERIL"
"919","Autumn     ","Kerala",2990,"RAJESWARI K.R"
"677","Rabi       ","Meghalaya",4726,"AGATHA K SANGMA"
"920","Summer     ","Kerala",3114,"KUNHIKANNAN PAYYOLI"
"920","Summer     ","Kerala",2960,"CYRILL SKARIA"
"654","Autumn     ","Kerala",2923,"SHAJAHAN V.A.     S/O ABDUL AZEES"
"655","Summer     ","Kerala",2978,"SUDHAKARAN. K S/O. P GOPALAN"
"656","Winter     ","Kerala",3010,"THOMAS CHAZHIKADAN"
"655","Summer     ","Kerala",2961,"PRATHAPAN"
"919","Autumn     ","Kerala",3110,"K K SHAILAJA TEACHER"
"656","Winter     ","Kerala",2916,"K. C VENUGOPAL"
"921","Winter     ","Kerala",3119,"NOTA"
"655","Summer     ","Kerala",3016,"CHANDRABOSE P"
"656","Winter     ","Kerala",3070,"ANIL K.ANTONY"
"919","Autumn     ","Kerala",3056,"NOTA"
"655","Summer     ","Kerala",3062,"N S K PURAM SASIKUMAR"
"921","Winter     ","Kerala",2933,"NOTA"
"581","Kharif     ","Goa",1474,"THOMAS AUGUSTINE FERNANDES"
"852","Kharif     ","Goa",1480,"DR SWETA GAONKAR"
"921","Winter     ","Kerala",3061,"ANNA KURIAKOSE"
"919","Autumn     ","Kerala",3078,"K.S HAMZA"
"921","Winter     ","Kerala",2979,"JOY JOHN PATTAR MADATHIL"
"919","Autumn     ","Kerala",3084,"HAMZA KADAVANDI"
"852","Kharif     ","Goa",1478,"PALLAVI SHRINIVAS DEMPO"
"920","Summer     ","Kerala",3112,"SHAFI T P"
"921","Winter     ","Kerala",3028,"ARAVINDAKSHAN NAIR M. K."
"920","Summer     ","Kerala",3051,"SANTHOSH PALATHUMPADAN"
"677","Rabi       ","Meghalaya",4723,"PETER SHALLAM"
"654","Autumn     ","Kerala",2960,"CYRILL SKARIA"
"920","Summer     ","Kerala",2928,"K.RADHAKRISHNAN"
"919","Autumn     ","Kerala",2978,"SUDHAKARAN. K S/O. P GOPALAN"
"656","Winter     ","Kerala",2986,"RAJMOHAN UNNITHAN"
